text,age,label,assessment,Война и мир,Игра в войну ,Реальность виртуального ,Антимилитаризм,Свой-чужой ,Патриотизм ,Положительная оценка СССР,Отрицательная оценка СССР,Критика 90-ых годов / Все о 90-ых,Клюква,Политическая ирония,Образ будущего ,Повесточка,Запрос на социальную справедливость и равенство,Запрос на объективность ,Запрос на альтернативность ,Запрос на субъектность ,Негативный национализм,Позитивный национализм ,Поддержка СВО,Критика СВО,СВО и ее последствия,Актуальные проблемы ,Критика власти/режима,Поддержка власти/режима,Принадлежность к идеологии: левый,Принадлежность к идеологии: правый,Принадлежность к идеологии: либерал/центрист,Ценности: гуманизм/антигуманизм,Мобилизационный и/или мотивационный потенциал ,Международная и/или мировая политика,Оппозиция,Личности и\или политики,Образ народа,Иное
"героиновый бред человека, застрявшего в совке. Пару раз чуть не уснул. Что бы понимать все отсылки нужно родиться в ссср Такое ощущение, что кто то хотел написать книгу, понял, что ее шансы на нуле и издал это. симулятор деда, сидящего за столом-вот точное описание.",30+,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Не имеется,Отрицательный
"Полит агитка, о девяностых как о времени надежд и о нас недозрелых м тд. в целом игра нудная как бы не советую",30+,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Не имеется,Отрицательный
"В войне нет ничего прекрасного, в войне нет ничего романтического, в войне нет ничего с чем хотелось бы жить дальше всю оставшуюся жизнь. Зато в войне есть грязь, смерть, боль, холод и разлука. Эта игра очень хорошо помогает понять всё это.",23-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,27.11,Положительный
"This War of Mine это игра, которая показывает жестокую и реалистичную картину войны с точки зрения обычных гражданских. Вам предстоит выживать в разрушенном городе, добывать ресурсы, торговать, строить и принимать сложные моральные решения. Игра основана на реальных событиях и вдохновлена опытом людей, переживших войну.
Мое мнение об этой игре такое:
Игра имеет прекрасную графику и музыку, которые создают атмосферу напряжения и безысходности. Каждая локация нарисована в стиле угольного эскиза, который подчеркивает опасность в каждой тени.
Игра имеет интересный и сложный игровой процесс, который состоит из двух фаз: дневной и ночной. Днем вы управляете своими персонажами в их убежище, где вы можете строить, готовить, лечить и поддерживать мораль. Ночью вы отправляетесь на разведку в город, где вы можете найти полезные вещи, но также столкнуться с опасностью. Вы должны быть осторожны и скрытны, так как в городе есть солдаты, бандиты и другие выжившие, которые могут быть враждебны или торговаться с вами. Вы также должны принимать решения, которые могут повлиять на вашу совесть и мораль, например, украсть лекарства у старой пары или помочь раненому человеку.
Игра имеет высокий уровень реализма и случайности, который делает каждую игру уникальной и непредсказуемой. Вы не можете загрузить предыдущее сохранение, если что-то пошло не так, и вы должны жить с последствиями своих действий. Ваша игра может закончиться в любой момент, если все ваши персонажи умрут или сбегут. Игра не имеет четкого конца, и вы не знаете, когда война закончится. Игра заставляет вас задуматься о ценности человеческой жизни и том, как война меняет людей.
В общем, я считаю, что This War of Mine это потрясающая и важная игра, которая заслуживает внимания. Она не только развлекает, но и заставляет задуматься о серьезных вопросах. Она показывает, что война не является игрой, а жестокой и бессмысленной реальностью. Я рекомендую эту игру всем, кто хочет испытать сильные эмоции и почувствовать себя в чужой шкуре.-",23-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,5,22.11,Положительный
"Игра отличная, мне очень нравится. Но разработчикам нужно напомнить, как выглядит флаг Палестины 🇵🇸 , потому что они обязаны её поддержать и перевести деньги",Любой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,23.11,Положительный
"Сама игра вроде норм. Но отношение разработчиков в поддержку одной страны как минимум похоже на попытку как то выжить или же поднять рейтинг. Такое чувство что ранее не было других стран в которых происходило то на чем сделали акцент разработчики в поддержку за последний год, и как будто эти страны не достойны такого же отношения и внимания. Удаляю игру!",17-22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,3,04.10,Отрицательный
"Великолепная игра. Одна из лучших игр серии Battlefield. Когда она выходила, я как раз читал книгу Эрнста Юнгера ""В стальных грозах"" и был очень удивлен, что разрабочитчики выбрали сеттинг первой мировой. К сожалению я не смог играть на релизе, но наконец купил игру, спустя столько времени. Для меня это видится странным, почему не добавили компанию за Российскую Империю. Да, есть DLC для сетевой игры. НО! Вы серьёзно? Т.е. такие героические подвиги русских солдат как:

- Атака мертвецов при осаде крепости Осовец;
- «Русская солдата» подвиг молодой девушки ""Николая Попова"" которым оказалась Кира Башкирова. Её отправили в тыл врага. Типичная стелс миссия, как раз для вашей компании, где довольно много стелса. (вы же очень любите про-фем повестку и разбавлять игру женскими персонажами, как в Battlefield V. А что такое? Это другое?);
- Брусиловский прорыв;
- Галицийская битва;
- Лодзинская операция;
- Сарыкамышское сражение.
- ...

Этого в истории небыло? Это другое? Да, это очень удобно, можно ведь просто не упоминать. Если бы я вдавался в детали, я бы мог перечислить ещё сражения и подвиги, но и этого достаточно. Чтож, что есть, то есть. Игра сделана достойно, но не обратить внимание на восточный фронт, это полнейший кретинизм.

А теперь мат и бомбление в сторону EA. Боже, какие же вы криворукие ♥♥♥♥♥♥♥♥♥♥♥♥. Вы сделали Origin, это был убогий но более-менее удобный лаунчер, нежели тот, что у вас сейчас. Ну что вам не сидится, оставте лаунчер и просто развивайте его, нет потребовалось его сделать ещё хуже и неудобней. Я играл и в Battlefield 3 и в Battlefield 4, но в какой-то момент очень долго не заходил в лаунчер и не играл, и вот когда мне потребовалось установить Battlefield 1 выяснилось, Origin теперь это EA лаунчер, что у меня нету на аккаунте BF3 и всей статистики с достижениями. Вы, ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥? Зачем вы удалили игру? После такого, я ни за что не куплю игру в EA лаунчере и не активирую там код. Тоже самое и с Battlelog, вся стата от BF3 просто удалена. Я уже молчу, что это настолько криво, ♥♥♥♥♥♥♥♥♥♥ и неудобно всё реализованно. Отдельно лаунчер, отдельно стата от батлы, потом вы сделали какой-то Battlefield Companion, чтобы там настраивать профиль в Battlefield 1. Сейчас это приложение удалено, а ссылки до сих пор висят, информация устаревшая, если читать инструкции по настройке профиля. То есть сейчас, по сути, профиль нормально не настроить. Открывается ублюдский кривой сайт, где максимально всё урезано и всрато. Зачем делать такой нон-френди гемор для игроков? Почему нельзя всё сделать в меню самой игры? Зачем мне, чтобы настроить отображение дурацкого жетона и картинки профиля, нужно лезть на какой-то сайт? Или качать приложение, которое уже удалено. Ужас просто...

Вердикт. Игра хорошая, разработчики потрудились, но большие вопросы к сюжетной компании. ЕА, это просто ужас, такое чувство, что там сидят реально какие-то ретарды.",30+,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,23.11,Положительный
"На выходе я не жрал ♥♥♥♥♥♥♥♥♥♥, спустя год скачал пиратку и попробовал поиграть пару часиков. Понял, что игра все еще техно демка и дропнул. Количество багов, херовая оптимизация и ничтожно малое количество механик, казалось бы, поставили крест на продукте от некогда любимой игровой компании. Но случилось чудо и спустя 3 года в игру можно играть. Я бы даже не услышал об этом, но отзывы в стиме, восторженные восклики по всему интернету четко заявили, что пора попробовать. А потом еще на EGS дали номинацию что-то типа ""доработанное ♥♥♥♥♥♥♥♥♥♥ десятилетия"". И действительно, игра сейчас просто шикарная. Багов за 30 часов прохождения я не встретил, механик новых завезли, дополнение отличное. Жаль, конечно, что за 3 года мир поменялся и Россия стала вне закона, а значит мы больше не получим шикарных озвучек. Но тут уж ничего не поделать",23-30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,18.12.2023,Положительный
"Тремя словами про игру: постмодерн, драматургия, экзистенциализм.",Любой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,31.12,Положительный
"Настоятельно рекомендую. В особенности людям, понимающим хоть как-то концепцию Трансгуманизма, философию и понятие души и человека.",23-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,21.12,Положительный
"Cyberpunk 2077 — это не просто игра, это погружение в захватывающий мир будущего, наполненный неоновыми огнями, технологическим великолепием и глубокой человеческой драмой. CD Projekt RED создали шедевр, который не только подарит вам удивительные игровые впечатления, но и заставит задуматься о ценности человеческой сущности в эпоху технологического прогресса.",23-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,3,27.11,Положительный
"Кайф игра,представляю что убиваю хохлов",До 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,30.12,Положительный
Симулятор Бах*ута советую,Любой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,31.12,Положительный
норм хохлов ♥♥♥♥♥♥♥♥♥♥♥♥,Любой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,31.12,Положительный
Симулятор подготовки к мобилизации,Любой,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,31.12,Положительный
"финальная миссия за советов, единственное яркое пятно, во всей этой звенящей проамериканской пошлости",23-30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,29.12,Отрицательный
опять русские злые -rep а так игра норм,Любой,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,29.12,Положительный
"Игра дала выбор, за какую сторону встать. Без особых раздумий выбрал за СССР, свернул игру, зашел на youtube и прослушал гимн СССР и РФ. Прослезился. Жалко, что при выборе концовки за союз - миллионы людей погибли.",23-30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,20.11,Положительный
"Такое обилие мерзотных помоев, вываленных на Россию - это уже перебор даже для серии COD. Мне искренне жаль, что я проспонсировал разработчиков и продолбал условия возврата. Фем. повестка - я смирился. Упоминания реальных военных преступлений США и приписывание их России - меня бомбило. Но миссия в 1999, где российские войска устраивают геноцид местных, а потом за 6-8-летнюю девочку мы прячемся дома от десантника в тельняшке, который старательно пытается убить детей - это за гранью добра и зла.",23-30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,4,01.12,Отрицательный
УуУуУу МЫ ЗЛЫЕ РУССКИЕ МЫ УБЬЁМ ВАС!!!!,Любой,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,25.12,Отрицательный
"1. Сценарный aутизм. Наглядный пример максимально бездарного слива военной драматургии в игре. У сценариста были все шансы сделать Spec Ops: The Line нашего времени, сделав игру максимально нейтральной, чтобы после её прохождения ты задумался, сделал какие-то выводы. Но поскольку сценарист просто дoдик, он не придумал ничего более разумного, чем засунуть максимально очерняющую клюкву для одной страны, сделав её попросту третьим рейхом. Кто-то может сказать, но ведь в предыдущих играх серии Россия\СССР тоже были злыми, да, были, но на них не вешали РЕАЛЬНЫЕ военные грехи чужой страны, их не сравнивали с Афганистаном, их не делали третьим рейхом, они просто были клюквенные, а тут мы видим самое настоящее очернение и бесконечную гниль в сторону одной из стран. Никакой фантазии, никакого продуманного сюжета, никакой прописанной логики, просто миллиард клюквы, миллиард тупых диалогов и действий. 2. Отсутствие серой морали и переписывание истории.Отличная ""серая мораль"". Если сейчас включить все интервью и весь этот розовый, сопливый бред аутистoв из IW, где в каждом втором слове звучало ""у нас будет серая мораль, все страны будут злыми и добрыми, мы не делим игру на черное и белое"". Включите и посмейтесь, это правда смешно, смешно слушать очевидную ложь, наглую ложь со стороны такой крупной конторы с мировым именем. 1 миссия - русские с террористами готовят химические атаки. 2 миссия - из-за русских теракты в Лондоне. 3 миссия - русские убивают людей в Сирии, травят всех газом. Ок, понятно. А что там по серой морали то в итоге? А где преступления США? Британии? Где? Ох, простите, вспомнил, миссия в СПб и пытке мужика на стуле, точно, ну, справедливый размен, химическая травка целого города российской армией = пытка мужика в подвале Петербурга. СПРА-ВЕ-ДЛИ-ВО. Ну и на закуску - самое банальное переписывание реально существующего военного преступления США в Ираке в 1991 году, называемое ""Шоссе смерти"", которая благополучно свесили в этой ""замечательной"" игре... На США? Британию? Китай? Францию? Северную Корею? Ну глупости же! Конечно же Россию! А че? Вопросы какие могут быть?)",30+,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,4,27.12,Положительный
"Игра прекрасна, музыка, геймплей, сюжет, графика, атмосфера. Смешно стало с нытья русских, это игра, не обижайтесь. После событий 2022 года игра просто подтвердила сущность русских солдат.",23-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,31.12,Положительный
"Сюжет полное ♥♥♥♥♥♥♥♥♥♥, русские выставлены хуже нацистов во Вторую Мировую, но нашпиговывать вражин маслинами одно удовольствие. Рекомендую, если ток в мультиплеер погонять и разок в сингл сгонять",17-22,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,26.11,Положительный
Русофобская игра,Любой,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,29.11,Положительный
"В принципе норм , но слишком много моментов где Россию и русскую армию показывают как каких то зверей. В предыдущих частях на столько открытой русофобии не было. Я конечно всё понимаю что это игра и всё такое но надо же знать какую то грань...P.s ♥♥♥♥♥♥ ваще у нас в России не принято обижаться на всё подряд как это полюбили на западе ) P.s Ж-12 press F",17-22,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,21.11,Положительный
"Самая easy, легкая как перышко русофобия",17-22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,22.11,Положительный
"Ты заходишь в игру впервые, быстро проходишь обучение и идешь на сервера... Подождав очередь из 20 человек ты наконец то попадаешь в игру. К удивлению ты попал на сервер с модами, и на твой выбор выпало 2 фракции - Россия и Украина, заходя за Россию тебя закидывают за Украину, ведь сторона рашки полностью забита. Попадая в отряд из 8 человек, тебе кричит на украинском 12 летний командир копать окопы и строить какие то фобы. Нажав рандомную точку спавна, ты слышишь как тот же командир кричит тебе ""ДЕ ТИ ЗАСПАВНИВСЯ БЛЯТИ? ЧЕКИ ТЕПЕР, ЩОДО ПРИЙДЕМО ЗА ТОБОЮ"", за тобой приезжает большая машинка которую называют ""соплей"", а пока вы дружно едете на фронт, в войсе слышна разная музыка, украинская речь и гимны. По дороге вашу соплю взрывает рандомный Российский РПГшник засевший в кустах, а пока вы ехали, ваш фоб и вовсе взорвали минометчики. Как только ты заспавнился все повторяется вновь, только в этот раз ваш снайпер который решил в прошлый раз с вами не ехать - убил РПГшника, и вы спокойно доехали до места назначения. Тебе приказывают копать окопы и строить какие то ящики с песком. Потратив 30 часов на постройки 12 летнего командира, тебе наконец то позволяют поехать на фронт стрелять... Но нет, оказалось что на фобе больше нет патронов, а так как все сквадные в вашей катке(помимо вашего конечно) - дураки, тебе лично приходится ехать на базу, заполнять соплю и ехать обратно. Забрав с мейна несколько синяков, ты наконец то доезжаешь на фоб, чем помогаешь команде отбиться от наплыва противников под крики ""♥♥♥♥♥♥, ОТ Б У РЕАЛЬНОМУ ЖИТТІ ТАК Ж""
Но по итогу вы все равно проигрываете со счетом 300-0, ведь ваш сквадной другую поло+вину игры спорил со стрелком по поводу того кто прав в конфликте России с Украиной.

10/10, однозначно, всем советую.",17-22,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,30.12.2023,Положительный
